NPI,TIN,TYPE,NEGOTIATION_ARRANGEMENT,BILLING_CODE_TYPE,BILLING_CODE,NEGOTIATED_TYPE,NEGOTIATED_RATE,BILLING_CLASS
1720515448,452719892,ein,ffs,CPT,99213,negotiated,74.12,professional
1730168089,840599571,ein,ffs,CPT,99213,negotiated,36.43,professional
1417936857,840599571,ein,ffs,CPT,99213,negotiated,36.43,professional
1043299571,840599571,ein,ffs,CPT,99213,negotiated,36.43,professional
1104805449,840599571,ein,ffs,CPT,99213,negotiated,36.43,professional
1659943363,200763767,ein,ffs,CPT,99213,negotiated,171.35,professional
1437113917,200763767,ein,ffs,CPT,99213,negotiated,171.35,professional
1073568952,860623149,ein,ffs,CPT,99213,negotiated,71.54,professional
1316110439,351536635,ein,ffs,CPT,99213,negotiated,40.34,professional
1336418003,351536635,ein,ffs,CPT,99213,negotiated,40.34,professional
1144494832,351536635,ein,ffs,CPT,99213,negotiated,40.34,professional
1184789232,261211885,ein,ffs,CPT,99213,negotiated,49.3,professional
1174503825,202856367,ein,ffs,CPT,99213,negotiated,45.0,professional
1598949166,582041471,ein,ffs,CPT,99213,negotiated,104.42,professional
1700025780,202833406,ein,ffs,CPT,99213,negotiated,143.77,professional
1295721629,582234927,ein,ffs,CPT,99213,negotiated,129.8,professional
1922449487,273767334,ein,ffs,CPT,99213,negotiated,61.8,professional
1710038245,273767334,ein,ffs,CPT,99213,negotiated,61.8,professional
1720437262,273767334,ein,ffs,CPT,99213,negotiated,61.8,professional
1003256165,273767334,ein,ffs,CPT,99213,negotiated,61.8,professional
1467111039,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1295929826,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1629383997,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1255525051,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1609540160,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1477753440,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1477961159,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1215473491,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1033357165,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1699754341,953171996,ein,ffs,CPT,99213,negotiated,116.15,professional
1992779581,203166819,ein,ffs,CPT,99213,negotiated,133.88,professional
1437136959,541519724,ein,ffs,CPT,99213,negotiated,118.11,professional
1740394121,721015946,ein,ffs,CPT,99213,negotiated,100.66,professional
1396737391,751622364,ein,ffs,CPT,99213,negotiated,102.83,professional
1003098807,751622364,ein,ffs,CPT,99213,negotiated,102.83,professional
1992704357,201234461,ein,ffs,CPT,99213,negotiated,45.0,professional
1346750148,364499273,ein,ffs,CPT,99213,negotiated,53.76,professional
1457539165,364499273,ein,ffs,CPT,99213,negotiated,53.76,professional
1033647425,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1730855537,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1417085820,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1700268281,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1396127593,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1558389270,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1841743234,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1538143805,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
1972531176,202264479,ein,ffs,CPT,99213,negotiated,56.55,professional
